3562553;5;2022-03-04 20:53:19
3562553;1;2022-03-04 20:36:10
9519451;5;2022-03-02 00:24:50
9519451;1;2022-03-01 23:28:33
2343007;5;2022-03-07 07:31:25
2343007;1;2022-03-07 06:47:40
5205491;4;2022-03-12 10:10:52
5205491;3;2022-03-12 09:15:30
5205491;2;2022-03-12 08:46:34
5205491;1;2022-03-12 08:07:14
2071767;4;2022-02-20 06:42:26
2071767;3;2022-02-20 06:02:05
2071767;2;2022-02-20 05:16:25
2071767;1;2022-02-20 05:07:59
8475116;5;2022-02-24 19:19:30
8475116;1;2022-02-24 18:48:06
8247782;4;2022-02-22 13:53:06
8247782;3;2022-02-22 13:34:33
8247782;2;2022-02-22 12:58:58
8247782;1;2022-02-22 12:22:45
7417353;5;2022-03-04 23:12:11
7417353;1;2022-03-04 22:27:04
3779333;4;2022-02-22 01:55:11
3779333;3;2022-02-22 01:43:47
3779333;2;2022-02-22 01:02:39
3779333;1;2022-02-22 00:07:19
8277568;4;2022-02-23 18:45:44
8277568;3;2022-02-23 18:35:56
8277568;2;2022-02-23 18:17:26
8277568;1;2022-02-23 18:06:27
6647213;4;2022-02-24 02:05:52
6647213;3;2022-02-24 01:09:28
6647213;2;2022-02-24 01:07:29
6647213;1;2022-02-24 00:11:30
3615246;5;2022-03-13 14:29:33
3615246;1;2022-03-13 14:20:17
2719491;4;2022-02-24 09:03:15
2719491;3;2022-02-24 08:49:43
2719491;2;2022-02-24 07:50:09
2719491;1;2022-02-24 07:18:25
9464034;4;2022-02-25 06:29:34
9464034;3;2022-02-25 05:56:17
9464034;2;2022-02-25 05:04:33
9464034;1;2022-02-25 05:03:23
1830850;4;2022-02-16 03:06:35
1830850;3;2022-02-16 02:38:04
1830850;2;2022-02-16 01:53:13
1830850;1;2022-02-16 01:35:49
464053;5;2022-03-13 10:05:16
464053;1;2022-03-13 09:14:11
9802263;5;2022-02-16 14:59:55
9802263;1;2022-02-16 14:41:27
1563907;4;2022-02-20 14:42:42
1563907;3;2022-02-20 14:02:16
1563907;2;2022-02-20 13:36:26
1563907;1;2022-02-20 13:16:47
133784;4;2022-02-24 20:28:31
133784;3;2022-02-24 20:10:28
133784;2;2022-02-24 19:55:34
133784;1;2022-02-24 19:15:52
4886964;4;2022-03-10 12:36:12
4886964;3;2022-03-10 11:53:40
4886964;2;2022-03-10 11:28:20
4886964;1;2022-03-10 10:35:21
6245975;5;2022-02-23 09:07:47
6245975;1;2022-02-23 08:23:33
7581208;4;2022-02-18 14:07:40
7581208;3;2022-02-18 13:57:04
7581208;2;2022-02-18 13:16:38
7581208;1;2022-02-18 13:04:07
568072;5;2022-02-24 00:29:39
568072;1;2022-02-24 00:16:02
5111284;5;2022-02-23 03:12:45
5111284;1;2022-02-23 02:30:10
9115235;4;2022-03-10 02:22:38
9115235;3;2022-03-10 01:25:17
9115235;2;2022-03-10 00:58:26
9115235;1;2022-03-10 00:13:38
5512294;4;2022-02-26 02:58:49
5512294;3;2022-02-26 02:10:29
5512294;2;2022-02-26 01:23:11
5512294;1;2022-02-26 01:18:07
1482681;5;2022-03-10 20:53:14
1482681;1;2022-03-10 20:11:07
3457479;5;2022-02-19 14:03:30
3457479;1;2022-02-19 13:58:10
2604540;4;2022-02-18 16:15:36
2604540;3;2022-02-18 15:51:15
2604540;2;2022-02-18 15:16:17
2604540;1;2022-02-18 14:52:39
1087618;4;2022-03-12 20:35:10
1087618;3;2022-03-12 19:56:43
1087618;2;2022-03-12 19:51:48
1087618;1;2022-03-12 19:25:25
5783801;4;2022-02-27 08:26:12
5783801;3;2022-02-27 07:38:54
5783801;2;2022-02-27 06:47:06
5783801;1;2022-02-27 05:47:32
6611369;5;2022-02-17 22:23:26
6611369;1;2022-02-17 21:48:56
5236984;4;2022-03-02 03:14:12
5236984;3;2022-03-02 02:36:23
5236984;2;2022-03-02 02:02:51
5236984;1;2022-03-02 01:09:39
7201400;5;2022-02-28 08:46:47
7201400;1;2022-02-28 07:55:33
2905018;5;2022-02-18 03:23:12
2905018;1;2022-02-18 02:56:25
4123716;5;2022-02-27 18:58:19
4123716;1;2022-02-27 18:12:26
3651748;5;2022-03-13 09:13:12
3651748;1;2022-03-13 08:47:25
5066748;4;2022-02-28 01:08:15
5066748;3;2022-02-28 00:36:26
5066748;2;2022-02-27 23:49:37
5066748;1;2022-02-27 22:52:02
9991976;4;2022-03-03 00:38:45
9991976;3;2022-03-02 23:47:20
9991976;2;2022-03-02 23:33:23
9991976;1;2022-03-02 23:17:12
9825885;4;2022-03-02 13:43:21
9825885;3;2022-03-02 13:26:55
9825885;2;2022-03-02 12:41:19
9825885;1;2022-03-02 12:05:33
3655234;5;2022-03-07 16:05:40
3655234;1;2022-03-07 15:46:32
7719026;4;2022-02-28 05:34:37
7719026;3;2022-02-28 04:39:50
7719026;2;2022-02-28 03:45:20
7719026;1;2022-02-28 03:16:54
9312619;5;2022-03-02 19:21:53
9312619;1;2022-03-02 18:51:20
5772702;4;2022-03-12 04:47:18
5772702;3;2022-03-12 04:37:39
5772702;2;2022-03-12 04:23:42
5772702;1;2022-03-12 03:34:02
4751213;4;2022-03-11 15:48:55
4751213;3;2022-03-11 14:54:23
4751213;2;2022-03-11 14:06:41
4751213;1;2022-03-11 13:48:36
8853497;4;2022-03-09 08:37:19
8853497;3;2022-03-09 08:10:47
8853497;2;2022-03-09 08:06:10
8853497;1;2022-03-09 07:08:52
5874978;5;2022-02-13 01:51:09
5874978;1;2022-02-13 01:46:59
9966747;4;2022-03-06 18:32:39
9966747;3;2022-03-06 18:26:15
9966747;2;2022-03-06 17:43:16
9966747;1;2022-03-06 17:23:24
7797506;5;2022-02-18 16:22:35
7797506;1;2022-02-18 15:33:17
6333863;5;2022-02-26 13:25:15
6333863;1;2022-02-26 12:31:43
3677596;4;2022-02-25 04:05:34
3677596;3;2022-02-25 03:31:18
3677596;2;2022-02-25 03:28:08
3677596;1;2022-02-25 02:49:49
2063958;5;2022-03-05 09:33:36
2063958;1;2022-03-05 08:52:26
4195463;5;2022-02-13 23:20:44
