15;3562553;СЭНДВИЧ С БЕКОНОМ И ОГУРЦОМ;180;0;8
0;3562553;ГРИЛАТА ОВОЩНАЯ ПО-МЕКСИКАНСКИ;60;0;10
5;3562553;КРУАССАН С ВЕТЧИНОЙ;120;0;5
17;3562553;СЭНДВИЧ НА КРУАССАНЕ КУРИЦА;180;0;1
12;3562553;РОЛЛ С ТОФУ И ВЯЛЕНЫМИ ТОМАТАМИ;180;0;5
16;3562553;CЭНДВИЧ С КУРИЦЕЙ BBQ;180;0;4
0;9519451;ГРИЛАТА ОВОЩНАЯ ПО-МЕКСИКАНСКИ;60;0;5
13;9519451;РОЛЛ С РЫБОЙ И СОУСОМ ТАРТАР;180;0;4
8;9519451;ПИЦЦЕТТА С КУРИЦЕЙ;120;0;2
12;9519451;РОЛЛ С ТОФУ И ВЯЛЕНЫМИ ТОМАТАМИ;180;0;4
10;9519451;МИНИ ПИРОГ КИШ С КУРИЦЕЙ;120;0;3
7;9519451;ПИЦЦЕТТА С ВЕТЧИНОЙ И СЫРОМ;120;0;4
17;9519451;СЭНДВИЧ НА КРУАССАНЕ КУРИЦА;180;0;1
14;2343007;НОРВЕЖСКИЙ СЭНДВИЧ С РЫБОЙ И ЯЙЦОМ;180;0;4
20;2343007;СЭНДВИЧ С КУРИЦЕЙ И ПЕСТО;180;0;2
12;2343007;РОЛЛ С ТОФУ И ВЯЛЕНЫМИ ТОМАТАМИ;180;0;3
8;5205491;ПИЦЦЕТТА С КУРИЦЕЙ;120;0;5
18;5205491;СЭНДВИЧ С ТУНЦОМ;180;0;3
12;5205491;РОЛЛ С ТОФУ И ВЯЛЕНЫМИ ТОМАТАМИ;180;0;8
15;5205491;СЭНДВИЧ С БЕКОНОМ И ОГУРЦОМ;180;0;3
11;5205491;КИШ С ВЕТЧИНОЙ И ГРИБАМИ;120;0;4
6;5205491;СЭНДВИЧ С ВЕТЧИНОЙ И СЫРОМ;120;0;2
16;5205491;CЭНДВИЧ С КУРИЦЕЙ BBQ;180;0;2
3;2071767;РОЛЛ С КУРИЦЕЙ И ПЕСТО;120;0;1
16;2071767;CЭНДВИЧ С КУРИЦЕЙ BBQ;180;0;4
20;2071767;СЭНДВИЧ С КУРИЦЕЙ И ПЕСТО;180;0;5
17;2071767;СЭНДВИЧ НА КРУАССАНЕ КУРИЦА;180;0;3
18;2071767;СЭНДВИЧ С ТУНЦОМ;180;0;3
13;2071767;РОЛЛ С РЫБОЙ И СОУСОМ ТАРТАР;180;0;4
6;2071767;СЭНДВИЧ С ВЕТЧИНОЙ И СЫРОМ;120;0;2
8;2071767;ПИЦЦЕТТА С КУРИЦЕЙ;120;0;5
9;2071767;КАЛЬЦОНЕ МАРГАРИТА;120;0;2
5;8475116;КРУАССАН С ВЕТЧИНОЙ;120;0;1
11;8475116;КИШ С ВЕТЧИНОЙ И ГРИБАМИ;120;0;4
1;8475116;ГРИЛАТА С КУРИЦЕЙ И ОВОЩАМИ;60;0;2
4;8475116;РОЛЛ С ИНДЕЙКОЙ;120;0;2
9;8475116;КАЛЬЦОНЕ МАРГАРИТА;120;0;2
2;8475116;РОЛЛ С ВЕТЧИНОЙ И ОМЛЕТОМ;120;0;4
7;8475116;ПИЦЦЕТТА С ВЕТЧИНОЙ И СЫРОМ;120;0;2
6;8247782;СЭНДВИЧ С ВЕТЧИНОЙ И СЫРОМ;120;0;1
11;8247782;КИШ С ВЕТЧИНОЙ И ГРИБАМИ;120;0;8
2;8247782;РОЛЛ С ВЕТЧИНОЙ И ОМЛЕТОМ;120;0;3
9;8247782;КАЛЬЦОНЕ МАРГАРИТА;120;0;3
4;8247782;РОЛЛ С ИНДЕЙКОЙ;120;0;3
1;7417353;ГРИЛАТА С КУРИЦЕЙ И ОВОЩАМИ;60;0;4
10;7417353;МИНИ ПИРОГ КИШ С КУРИЦЕЙ;120;0;7
19;7417353;СЭНДВИЧ COFIX С ВЕТЧИНОЙ И КУРИЦЕЙ;180;0;5
3;7417353;РОЛЛ С КУРИЦЕЙ И ПЕСТО;120;0;4
9;7417353;КАЛЬЦОНЕ МАРГАРИТА;120;0;7
4;7417353;РОЛЛ С ИНДЕЙКОЙ;120;0;3
14;7417353;НОРВЕЖСКИЙ СЭНДВИЧ С РЫБОЙ И ЯЙЦОМ;180;0;2
16;3779333;CЭНДВИЧ С КУРИЦЕЙ BBQ;180;0;3
17;3779333;СЭНДВИЧ НА КРУАССАНЕ КУРИЦА;180;0;3
6;3779333;СЭНДВИЧ С ВЕТЧИНОЙ И СЫРОМ;120;0;5
5;3779333;КРУАССАН С ВЕТЧИНОЙ;120;0;2
2;3779333;РОЛЛ С ВЕТЧИНОЙ И ОМЛЕТОМ;120;0;5
2;8277568;РОЛЛ С ВЕТЧИНОЙ И ОМЛЕТОМ;120;0;2
16;8277568;CЭНДВИЧ С КУРИЦЕЙ BBQ;180;0;4
7;6647213;ПИЦЦЕТТА С ВЕТЧИНОЙ И СЫРОМ;120;0;2
1;6647213;ГРИЛАТА С КУРИЦЕЙ И ОВОЩАМИ;60;0;1
12;6647213;РОЛЛ С ТОФУ И ВЯЛЕНЫМИ ТОМАТАМИ;180;0;5
2;6647213;РОЛЛ С ВЕТЧИНОЙ И ОМЛЕТОМ;120;0;3
16;6647213;CЭНДВИЧ С КУРИЦЕЙ BBQ;180;0;2
20;6647213;СЭНДВИЧ С КУРИЦЕЙ И ПЕСТО;180;0;1
6;6647213;СЭНДВИЧ С ВЕТЧИНОЙ И СЫРОМ;120;0;3
10;3615246;МИНИ ПИРОГ КИШ С КУРИЦЕЙ;120;0;5
7;3615246;ПИЦЦЕТТА С ВЕТЧИНОЙ И СЫРОМ;120;0;4
8;3615246;ПИЦЦЕТТА С КУРИЦЕЙ;120;0;4
0;3615246;ГРИЛАТА ОВОЩНАЯ ПО-МЕКСИКАНСКИ;60;0;5
1;3615246;ГРИЛАТА С КУРИЦЕЙ И ОВОЩАМИ;60;0;3
13;3615246;РОЛЛ С РЫБОЙ И СОУСОМ ТАРТАР;180;0;3
11;2719491;КИШ С ВЕТЧИНОЙ И ГРИБАМИ;120;0;4
10;2719491;МИНИ ПИРОГ КИШ С КУРИЦЕЙ;120;0;10
15;2719491;СЭНДВИЧ С БЕКОНОМ И ОГУРЦОМ;180;0;6
16;2719491;CЭНДВИЧ С КУРИЦЕЙ BBQ;180;0;4
18;2719491;СЭНДВИЧ С ТУНЦОМ;180;0;3
4;2719491;РОЛЛ С ИНДЕЙКОЙ;120;0;5
11;9464034;КИШ С ВЕТЧИНОЙ И ГРИБАМИ;120;0;1
20;9464034;СЭНДВИЧ С КУРИЦЕЙ И ПЕСТО;180;0;5
19;9464034;СЭНДВИЧ COFIX С ВЕТЧИНОЙ И КУРИЦЕЙ;180;0;1
16;9464034;CЭНДВИЧ С КУРИЦЕЙ BBQ;180;0;2
